GEO_ID,NAME,P010001,P010004,P010002
13001,"Appling County, Georgia",13542,2400,0.18
13003,"Atkinson County, Georgia",5945,1032,0.17
13005,"Bacon County, Georgia",8270,1190,0.14
13007,"Baker County, Georgia",2650,1217,0.46
13009,"Baldwin County, Georgia",36369,13920,0.38
13011,"Banks County, Georgia",13752,332,0.02
13013,"Barrow County, Georgia",49778,5475,0.11
13015,"Bartow County, Georgia",73357,7112,0.10
13017,"Ben Hill County, Georgia",12966,4218,0.33
13019,"Berrien County, Georgia",14347,1417,0.10
13021,"Bibb County, Georgia",115428,55948,0.48
13023,"Bleckley County, Georgia",10114,2678,0.26
13025,"Brantley County, Georgia",13518,389,0.03
13027,"Brooks County, Georgia",12393,4117,0.33
13029,"Bryan County, Georgia",21376,2890,0.14
13031,"Bulloch County, Georgia",55824,14640,0.26
13033,"Burke County, Georgia",16731,7803,0.47
13035,"Butts County, Georgia",18330,5048,0.28
13037,"Calhoun County, Georgia",5374,3234,0.60
13039,"Camden County, Georgia",36861,6783,0.18
13043,"Candler County, Georgia",8179,1935,0.24
13045,"Carroll County, Georgia",82403,14491,0.18
13047,"Catoosa County, Georgia",48002,946,0.02
13049,"Charlton County, Georgia",9529,2762,0.29
13051,"Chatham County, Georgia",205121,76005,0.37
13053,"Chattahoochee County, Georgia",8214,1496,0.18
13055,"Chattooga County, Georgia",20157,2491,0.12
13057,"Cherokee County, Georgia",155426,8184,0.05
13059,"Clarke County, Georgia",96291,22492,0.23
13061,"Clay County, Georgia",2466,1380,0.56
13063,"Clayton County, Georgia",184445,119218,0.65
13065,"Clinch County, Georgia",4955,1248,0.25
13067,"Cobb County, Georgia",511591,120602,0.24
13069,"Coffee County, Georgia",31255,8135,0.26
13071,"Colquitt County, Georgia",32914,6935,0.21
13073,"Columbia County, Georgia",90243,12748,0.14
13075,"Cook County, Georgia",12530,3244,0.26
13077,"Coweta County, Georgia",92485,15340,0.17
13079,"Crawford County, Georgia",9762,2152,0.22
13081,"Crisp County, Georgia",17317,6762,0.39
13083,"Dade County, Georgia",13047,130,0.01
13085,"Dawson County, Georgia",17247,82,0.00
13087,"Decatur County, Georgia",20760,8016,0.39
13089,"DeKalb County, Georgia",526757,274691,0.52
13091,"Dodge County, Georgia",16719,4790,0.29
13093,"Dooly County, Georgia",11759,5652,0.48
13095,"Dougherty County, Georgia",70231,44625,0.64
13097,"Douglas County, Georgia",94870,34803,0.37
13099,"Early County, Georgia",8107,3769,0.46
13101,"Echols County, Georgia",2851,137,0.05
13103,"Effingham County, Georgia",37344,4817,0.13
13105,"Elbert County, Georgia",15467,4290,0.28
13107,"Emanuel County, Georgia",16850,5244,0.31
13109,"Evans County, Georgia",8163,2298,0.28
13111,"Fannin County, Georgia",19151,61,0.00
13113,"Fayette County, Georgia",78468,14908,0.19
13115,"Floyd County, Georgia",72872,9719,0.13
13117,"Forsyth County, Georgia",122106,3010,0.02
13119,"Franklin County, Georgia",17128,1375,0.08
13121,"Fulton County, Georgia",700895,299970,0.43
13123,"Gilmer County, Georgia",22063,83,0.00
13125,"Glascock County, Georgia",2269,183,0.08
13127,"Glynn County, Georgia",60395,14294,0.24
13129,"Gordon County, Georgia",40311,1505,0.04
13131,"Grady County, Georgia",18584,5061,0.27
13133,"Greene County, Georgia",12697,4361,0.34
13135,"Gwinnett County, Georgia",570614,126283,0.22
13137,"Habersham County, Georgia",32737,1233,0.04
13139,"Hall County, Georgia",129518,9428,0.07
13141,"Hancock County, Georgia",7710,5508,0.71
13143,"Haralson County, Georgia",21547,1029,0.05
13145,"Harris County, Georgia",24406,4200,0.17
13147,"Hart County, Georgia",19602,3471,0.18
13149,"Heard County, Georgia",8786,884,0.10
13151,"Henry County, Georgia",144265,50255,0.35
13153,"Houston County, Georgia",102409,27575,0.27
13155,"Irwin County, Georgia",7223,1816,0.25
13157,"Jackson County, Georgia",44440,3019,0.07
13159,"Jasper County, Georgia",10425,2249,0.22
13161,"Jeff Davis County, Georgia",10902,1557,0.14
13163,"Jefferson County, Georgia",12659,6659,0.53
13165,"Jenkins County, Georgia",6104,2269,0.37
13167,"Johnson County, Georgia",7890,2678,0.34
13169,"Jones County, Georgia",21196,5163,0.24
13171,"Lamar County, Georgia",14448,4531,0.31
13173,"Lanier County, Georgia",7310,1675,0.23
