GEO_ID,NAME,P010001,P010005,native american prop
13001,"Appling County, Georgia",13542,47,0.003470684
13003,"Atkinson County, Georgia",5945,37,0.006223717
13005,"Bacon County, Georgia",8270,12,0.001451028
13007,"Baker County, Georgia",2650,8,0.003018868
13009,"Baldwin County, Georgia",36369,71,0.001952212
13011,"Banks County, Georgia",13752,40,0.002908668
13013,"Barrow County, Georgia",49778,122,0.002450882
13015,"Bartow County, Georgia",73357,297,0.004048693
13017,"Ben Hill County, Georgia",12966,36,0.002776492
13019,"Berrien County, Georgia",14347,41,0.00285774
13021,"Bibb County, Georgia",115428,264,0.00228714
13023,"Bleckley County, Georgia",10114,10,0.000988728
13025,"Brantley County, Georgia",13518,36,0.002663116
13027,"Brooks County, Georgia",12393,42,0.00338901
13029,"Bryan County, Georgia",21376,79,0.003695734
13031,"Bulloch County, Georgia",55824,141,0.002525795
13033,"Burke County, Georgia",16731,40,0.002390772
13035,"Butts County, Georgia",18330,48,0.002618658
13037,"Calhoun County, Georgia",5374,9,0.00167473
13039,"Camden County, Georgia",36861,188,0.005100241
13043,"Candler County, Georgia",8179,8,0.000978115
13045,"Carroll County, Georgia",82403,294,0.003567831
13047,"Catoosa County, Georgia",48002,144,0.002999875
13049,"Charlton County, Georgia",9529,39,0.004092769
13051,"Chatham County, Georgia",205121,560,0.002730096
13053,"Chattahoochee County, Georgia",8214,68,0.008278549
13055,"Chattooga County, Georgia",20157,51,0.002530138
13057,"Cherokee County, Georgia",155426,587,0.003776717
13059,"Clarke County, Georgia",96291,181,0.001879719
13061,"Clay County, Georgia",2466,11,0.004460665
13063,"Clayton County, Georgia",184445,680,0.003686736
13065,"Clinch County, Georgia",4955,29,0.005852674
13067,"Cobb County, Georgia",511591,1605,0.003137272
13069,"Coffee County, Georgia",31255,84,0.00268757
13071,"Colquitt County, Georgia",32914,149,0.004526949
13073,"Columbia County, Georgia",90243,308,0.003413007
13075,"Cook County, Georgia",12530,28,0.002234637
13077,"Coweta County, Georgia",92485,301,0.003254582
13079,"Crawford County, Georgia",9762,44,0.004507273
13081,"Crisp County, Georgia",17317,24,0.001385921
